,id,country_id,league_id,season,stage,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,home_player_X1,home_player_X2,home_player_X3,home_player_X4,home_player_X5,home_player_X6,home_player_X7,home_player_X8,home_player_X9,home_player_X10,home_player_X11,away_player_X1,away_player_X2,away_player_X3,away_player_X4,away_player_X5,away_player_X6,away_player_X7,away_player_X8,away_player_X9,away_player_X10,away_player_X11,home_player_Y1,home_player_Y2,home_player_Y3,home_player_Y4,home_player_Y5,home_player_Y6,home_player_Y7,home_player_Y8,home_player_Y9,home_player_Y10,home_player_Y11,away_player_Y1,away_player_Y2,away_player_Y3,away_player_Y4,away_player_Y5,away_player_Y6,away_player_Y7,away_player_Y8,away_player_Y9,away_player_Y10,away_player_Y11,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,goal,shoton,shotoff,foulcommit,card,cross,corner,possession,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,GBH,GBD,GBA,BSH,BSD,BSA
940,941,1,1,2011/2012,30,2012-03-21,1032925,8342,9989,1,0,1.0,2.0,4.0,6.0,8.0,2.0,4.0,6.0,8.0,4.0,6.0,1.0,3.0,4.0,7.0,3.0,5.0,7.0,9.0,1.0,4.0,6.0,1.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,10.0,10.0,1.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,10.0,10.0,104378.0,28133.0,47411.0,42594.0,172147.0,31294.0,14557.0,37979.0,277771.0,33657.0,38440.0,20747.0,4863.0,174546.0,39931.0,25160.0,213111.0,181071.0,32760.0,174747.0,27423.0,32690.0,,,,,,,,,1.29,5.0,9.0,1.26,5.25,10.5,1.25,4.5,9.0,1.2,5.0,11.0,,,,1.25,5.0,11.0,1.29,4.75,10.0,1.3,5.2,9.5,1.25,5.25,10.0,1.25,5.4,10.0
941,942,1,1,2011/2012,30,2012-03-21,1032926,8635,10000,2,1,1.0,3.0,4.0,7.0,1.0,3.0,5.0,7.0,9.0,4.0,6.0,1.0,2.0,4.0,6.0,8.0,3.0,5.0,7.0,3.0,5.0,7.0,1.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,10.0,10.0,1.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,10.0,10.0,10.0,38391.0,38389.0,13423.0,38393.0,148302.0,69653.0,40536.0,38253.0,265123.0,37262.0,38369.0,37900.0,37100.0,41005.0,80678.0,131532.0,11357.0,208984.0,131531.0,104377.0,46335.0,240044.0,,,,,,,,,1.2,6.5,9.5,1.2,6.0,12.5,1.2,5.0,10.0,1.2,5.5,9.0,,,,1.2,6.0,11.0,1.2,6.0,11.0,1.22,6.5,10.5,1.22,5.75,10.0,1.22,5.5,10.0
942,943,1,1,2011/2012,30,2012-03-21,1032927,9987,9991,3,1,1.0,3.0,5.0,7.0,2.0,4.0,6.0,8.0,3.0,4.0,7.0,1.0,2.0,4.0,6.0,8.0,1.0,3.0,5.0,7.0,9.0,5.0,1.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,10.0,10.0,10.0,1.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,11.0,38793.0,166675.0,38368.0,109331.0,130027.0,169200.0,37858.0,215419.0,38782.0,127191.0,148315.0,156553.0,37667.0,37440.0,49451.0,109332.0,33662.0,27421.0,26771.0,67890.0,21726.0,148329.0,,,,,,,,,2.5,3.2,2.63,2.45,3.5,2.6,2.4,3.2,2.6,2.38,3.3,2.5,,,,2.45,3.25,2.62,2.5,3.3,2.6,2.6,3.4,2.62,2.45,3.4,2.6,2.4,3.4,2.6
943,944,1,1,2011/2012,30,2012-03-21,1032928,1773,9997,3,1,1.0,1.0,3.0,5.0,7.0,9.0,3.0,5.0,7.0,4.0,6.0,1.0,2.0,4.0,6.0,8.0,2.0,4.0,6.0,8.0,4.0,6.0,1.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,10.0,10.0,1.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,10.0,10.0,37993.0,37051.0,45840.0,166660.0,149173.0,94419.0,179059.0,39335.0,38777.0,,38778.0,37937.0,3329.0,7683.0,36522.0,148313.0,38354.0,37866.0,38439.0,104415.0,68226.0,26502.0,,,,,,,,,2.25,3.3,2.88,2.2,3.4,3.0,2.3,3.2,2.7,2.3,3.25,2.62,,,,2.25,3.25,2.9,2.25,3.4,2.9,2.25,3.4,3.1,2.25,3.3,2.9,2.25,3.3,2.88
944,945,1,1,2011/2012,30,2012-03-21,1032929,9994,9984,1,0,1.0,2.0,4.0,6.0,8.0,2.0,4.0,6.0,8.0,4.0,6.0,1.0,3.0,4.0,7.0,1.0,3.0,5.0,7.0,9.0,4.0,6.0,1.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,10.0,10.0,1.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,10.0,10.0,30934.0,38273.0,94030.0,25791.0,72545.0,38290.0,104406.0,189977.0,277821.0,34370.0,104404.0,131403.0,37021.0,38342.0,191787.0,27110.0,68116.0,257865.0,166670.0,188231.0,193222.0,277767.0,,,,,,,,,2.2,3.25,3.0,2.1,3.3,3.3,2.1,3.2,3.1,2.2,3.25,2.75,,,,2.15,3.25,3.1,2.2,3.2,3.1,2.2,3.3,3.25,2.2,3.25,3.1,2.15,3.25,3.1
945,946,1,1,2011/2012,30,2012-03-21,1032930,8571,9993,2,0,1.0,2.0,4.0,6.0,8.0,2.0,4.0,6.0,8.0,4.0,6.0,1.0,1.0,3.0,5.0,7.0,9.0,3.0,4.0,6.0,8.0,5.0,1.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,10.0,10.0,1.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,11.0,148325.0,26109.0,242229.0,39625.0,45413.0,38257.0,95614.0,208929.0,95615.0,77813.0,38231.0,13131.0,243481.0,254455.0,38800.0,174363.0,27508.0,104386.0,36863.0,7226.0,178481.0,33622.0,,,,,,,,,1.91,3.4,3.6,1.95,3.5,3.6,1.8,3.3,3.8,1.8,3.4,3.6,,,,1.95,3.4,3.5,2.0,3.4,3.4,1.91,3.5,3.9,1.9,3.5,3.6,1.91,3.4,3.6
946,947,1,1,2011/2012,30,2012-03-21,1032931,8203,9985,1,2,1.0,3.0,4.0,7.0,1.0,3.0,5.0,7.0,9.0,4.0,6.0,1.0,2.0,4.0,6.0,8.0,1.0,3.0,5.0,7.0,9.0,5.0,1.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,10.0,10.0,1.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,11.0,38327.0,67950.0,67941.0,39389.0,38956.0,45490.0,277813.0,37112.0,178291.0,67959.0,39145.0,38797.0,149279.0,111858.0,38441.0,164229.0,119117.0,40274.0,38969.0,119542.0,186621.0,248689.0,,,,,,,,,2.63,3.2,2.5,2.65,3.3,2.5,2.5,3.2,2.5,2.4,3.25,2.5,,,,2.6,3.25,2.5,2.63,3.3,2.5,2.7,3.3,2.6,2.6,3.3,2.5,2.6,3.25,2.5
947,948,1,1,2011/2012,30,2012-03-21,1032932,9998,10001,2,1,1.0,2.0,4.0,6.0,8.0,2.0,4.0,6.0,8.0,4.0,6.0,1.0,2.0,4.0,6.0,8.0,1.0,3.0,5.0,7.0,9.0,5.0,1.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,10.0,10.0,1.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,11.0,67949.0,39977.0,38906.0,26235.0,36849.0,21753.0,38353.0,277826.0,26224.0,78902.0,17703.0,37971.0,38339.0,38337.0,209782.0,37953.0,67896.0,26260.0,178249.0,21834.0,38371.0,37065.0,,,,,,,,,1.83,3.5,3.75,1.85,3.7,3.7,1.85,3.3,3.6,1.8,3.4,3.6,,,,1.83,3.4,4.0,1.8,3.6,4.0,1.85,3.6,4.1,1.85,3.5,3.75,1.83,3.5,3.75
948,949,1,1,2011/2012,4,2011-08-21,1032716,9985,8571,3,1,1.0,1.0,3.0,5.0,7.0,9.0,3.0,5.0,7.0,4.0,6.0,1.0,3.0,4.0,7.0,1.0,3.0,5.0,7.0,9.0,6.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,10.0,10.0,1.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,10.0,10.0,38797.0,149279.0,129462.0,38795.0,164229.0,33620.0,111858.0,131531.0,38969.0,38382.0,148315.0,148325.0,131404.0,26109.0,37861.0,38257.0,95614.0,33685.0,95615.0,111194.0,38231.0,157561.0,,,,,,,,,1.53,3.8,6.75,1.5,3.9,6.25,1.4,3.9,6.0,1.4,3.75,7.0,,,,1.4,4.33,7.0,1.5,4.0,6.0,1.5,4.2,6.5,1.5,3.75,6.5,1.44,3.8,7.0
949,950,1,1,2011/2012,4,2011-08-20,1032717,9997,9994,0,2,1.0,1.0,3.0,5.0,9.0,7.0,4.0,6.0,8.0,3.0,5.0,1.0,2.0,4.0,6.0,8.0,2.0,4.0,6.0,8.0,4.0,6.0,1.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,11.0,1.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,10.0,10.0,26589.0,3329.0,7683.0,45256.0,104415.0,280134.0,37866.0,37972.0,68120.0,36522.0,68226.0,30934.0,25791.0,95609.0,94030.0,166675.0,30910.0,67898.0,38290.0,42706.0,212285.0,104404.0,,,,,,,,,2.8,3.3,2.5,2.85,3.25,2.35,2.5,3.2,2.5,2.5,3.2,2.4,,,,2.62,3.2,2.5,2.7,3.2,2.5,2.75,3.4,2.5,2.75,3.2,2.45,2.7,3.25,2.4
